Company,FileNo,Opened,Closed,Coverage,SubCoverage,Reason,SubReason,Disposition,Conclusion,Recovery,Status
Reliance Standard Life Insurance Company,801181,03/09/2018,04/03/2018,Group Health,No SubCov - AH,Marketing/Sales,Policy Service Delay,Claim Settled,Furnished Information,0.00,Closed
Main Street America Assurance Company,801179,03/09/2018,04/03/2018,,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Aetna Life Insurance Company,801380,03/20/2018,04/03/2018,A & H,Maternity,Unfair Claims Practice,Provider Contract Issue,Furnished Information,Furnished Information,0.00,Closed
Philadelphia Indemnity Insurance Company,801311,03/16/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Questionable,0.00,Closed
"ConnectiCare Insurance Company, Inc",804309,09/11/2018,01/02/2019,,,Unfair Claims Practice,Coordination of Benefit,Company Position Upheld,Furnished Information,0.00,Closed
Selective Insurance Company of America,902495,06/03/2019,06/14/2019,Auto Liability,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Brighthouse Life Insurance Company,902426,05/30/2019,06/14/2019,,,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Cigna Health and Life Insurance Company,800783,02/15/2018,01/02/2019,Group Health,Other,Unfair Claims Practice,Denial of Claim,No Cause For Action,No Action Necessary,0.00,Closed
Standard Fire Insurance Company (The),803611,08/03/2018,08/21/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Inter-Company Arbitration,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",901890,04/25/2019,05/09/2019,,,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
United Services Automobile Association,801232,03/14/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
Brighthouse Life Insurance Company,801246,03/14/2018,04/03/2018,,,Premium and Rating,Premium/Rate Increase,Company Position Upheld,Furnished Information,0.00,Closed
Twin City Fire Insurance Company,801597,04/02/2018,04/03/2018,Commercial Multi-Peril,,Underwriting,Non-Renewal,Record Only,No Action Necessary,0.00,Closed
"ConnectiCare Insurance Company, Inc",801313,03/16/2018,04/03/2018,Individual Health,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Pol Restored/Reinstated,Voluntary Reconsider,0.00,Closed
Reliance Standard Life Insurance Company,801181,03/09/2018,04/03/2018,,,Marketing/Sales,Policy Service Delay,Claim Settled,Furnished Information,0.00,Closed
Travelers Indemnity Company of America (The),102927,07/08/2021,07/20/2021,Auto,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Fidelity Security Life Insurance Company,102175,05/19/2021,06/02/2021,,,Premium and Rating,Premium Refund Delay,Contract Provision,Unjustified,0.00,Closed
Harleysville Preferred Insurance Company,803729,08/09/2018,08/21/2018,Auto,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
"Automobile Insurance Company of Hartford, Connecticut (The)",901764,04/16/2019,04/29/2019,Homeowners,,No Jurisdiction,Other state DOI,Policy not written in CT,No Authority,0.00,Closed
UnitedHealthcare Insurance Company,801159,03/08/2018,04/03/2018,,,Utilization Review,Medical Necessity,Claim Settled,Voluntary Reconsider,2427.00,Closed
Underwriters at Lloyds London,902178,05/13/2019,06/14/2019,,,Unfair Claims Practice,Unsatisfactory Settlement,Refer To Appraisal,Unjustified,0.00,Closed
"Oxford Health Plans (CT), Inc",803297,07/18/2018,08/06/2018,Group Health,Prescription,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
Liberty Mutual Fire Insurance Company,102035,05/11/2021,06/02/2021,Auto Liability,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
RiverSource Life Insurance Company,901936,04/29/2019,05/22/2019,Individual Annuity,Fixed Annuity,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
Garrison Property and Casualty Insurance Company,102151,05/18/2021,06/02/2021,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Progressive Casualty Insurance Company,902126,05/09/2019,06/07/2019,Auto Liability,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
Universal North America Insurance Company,802991,06/27/2018,08/22/2018,Homeowners,,Unfair Claims Practice,Claim Delays,Additional Money Received,Unjustified,57252.06,Closed
American General Life Insurance Company,902021,05/03/2019,06/07/2019,Individual Life,Whole Life,Unfair Claims Practice,Claim Delays,Claim Paid With Interest,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",101365,03/26/2021,05/10/2021,Group Health,Prescription,Unfair Claims Practice,Claim Delays,Claim Paid With Interest,Justified,117157.21,Closed
"Anthem Health Plans, Inc",803993,08/22/2018,08/22/2018,Group Health,No SubCov - AH,Utilization Review,Medical Necessity,Complaint Withdrawn,No Action Necessary,0.00,Closed
Great Northern Insurance Company,102587,06/15/2021,07/20/2021,Other [Enter Coverage],,FOI Inquiry,No Subreason,Furnished Information,Furnished Information,0.00,Closed
Transamerica Premier LIfe Insurance Company,902449,05/31/2019,06/14/2019,Individual Long Term Care,Partnership,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Plymouth Rock Home Assurance Corporation,102786,06/29/2021,07/14/2021,Homeowners,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
Trumbull Insurance Company,803335,07/19/2018,08/22/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Claim Settled,Unjustified,3000.00,Closed
"Cigna HealthCare of Connecticut, Inc",801484,03/26/2018,04/03/2018,Dental,Dental,Unfair Claims Practice,Provider Contract Issue,Complaint Withdrawn,No Action Necessary,0.00,Closed
Brighthouse Life Insurance Company,801246,03/14/2018,04/03/2018,Individual Health,Long Term Individual,Premium and Rating,Premium/Rate Increase,Company Position Upheld,Furnished Information,0.00,Closed
"Anthem Health Plans, Inc",801234,03/14/2018,04/03/2018,Exchange-Individual Hlth,Behavl Hlth/Subst Abuse,Unfair Claims Practice,Contract Provision,Furnished Information,Furnished Information,0.00,Closed
Brighthouse Life Insurance Company,805889,12/20/2018,01/03/2019,Individual Long Term Care,No SubCov - AH,Unfair Claims Practice,Claim Procedure,Claim Paid With Interest,Justified,39770.00,Closed
Encompass Indemnity Company,801474,03/26/2018,04/03/2018,Auto Liability,,Unfair Claims Practice,Denial of Claim,Refer-Judicial/Attorney,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",803293,07/18/2018,08/22/2018,A & H,No SubCov - AH,Utilization Review,UR Procedure,Coverage Granted,Justified,0.00,Closed
New Hampshire Insurance Company,803322,07/19/2018,08/22/2018,Commercial Auto,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",801199,03/12/2018,04/03/2018,,,Utilization Review,Medical Necessity,Insufficient Information,No Action Necessary,0.00,Closed
Standard Fire Insurance Company (The),801406,03/21/2018,04/03/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",802630,06/06/2018,08/06/2018,Group Health,Out-Patient,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Furnished Information,0.00,Closed
"Cigna HealthCare of Connecticut, Inc",803570,08/02/2018,08/22/2018,,,Unfair Claims Practice,Denial of Claim,Claim Paid With Interest,Justified,302.52,Closed
State Farm Fire & Casualty Company,803685,08/07/2018,08/22/2018,Homeowners,,Underwriting,Non-Renewal,Non-Renewal Upheld,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,803510,07/30/2018,08/22/2018,Group Health,No SubCov - AH,Unfair Claims Practice,Provider Contract Issue,Corrective Action,Furnished Information,0.00,Closed
State Farm Fire & Casualty Company,803289,07/18/2018,08/02/2018,Homeowners,,Premium and Rating,Premium Refund Delay,Corrective Action,Justified,2372.86,Closed
ConnectiCare Inc,803704,08/08/2018,08/22/2018,,,Unfair Claims Practice,Coordination of Benefit,Furnished Information,Furnished Information,0.00,Closed
Virginia Surety Company Inc.,803145,07/09/2018,01/03/2019,Extended Warranty(Other),,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
USAA Casualty Insurance Company,805903,12/21/2018,01/03/2019,Auto Physical Damage,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
New Hampshire Insurance Company,803322,07/19/2018,08/22/2018,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Cigna HealthCare of Connecticut, Inc",803570,08/02/2018,08/22/2018,Group Health,Out-Patient,Unfair Claims Practice,Denial of Claim,Claim Paid With Interest,Justified,302.52,Closed
State Farm Mutual Automobile Insurance Company,805708,12/10/2018,01/03/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
United States Fire Insurance Company,805704,12/07/2018,01/03/2019,Travel Insurance,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,307.00,Closed
UnitedHealthcare Insurance Company,801159,03/08/2018,04/03/2018,Group Health,Out-Patient,Utilization Review,Medical Necessity,Claim Settled,Voluntary Reconsider,2427.00,Closed
"Anthem Health Plans, Inc",802770,06/14/2018,07/17/2018,Group Health,Out-Patient,Unfair Claims Practice,Claim Delays,Satisfied,Furnished Information,0.00,Closed
Midland National Life Insurance Company,902413,05/29/2019,06/17/2019,Individual Life,Universal Life,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
Metropolitan Life Insurance Company,101770,04/23/2021,05/10/2021,Dental,Dental,Unfair Claims Practice,Claim Procedure,Furnished Information,Furnished Information,0.00,Closed
Amica Mutual Insurance Company,805386,11/15/2018,01/03/2019,Auto,,Premium and Rating,Excessive Charges,Premium Refund,Justified,3913.00,Closed
"Anthem Health Plans, Inc",102137,05/18/2021,06/02/2021,Group Health,No SubCov - AH,Unfair Claims Practice,Coordination of Benefit,Claim Settled,Furnished Information,213.00,Closed
Liberty Mutual Fire Insurance Company,102035,05/11/2021,06/02/2021,Auto Liability,,Unfair Claims Practice,Diminished Value,Enter Arbitration,Unjustified,0.00,Closed
American Commerce Insurance Company,803389,07/24/2018,08/22/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",902346,05/23/2019,06/17/2019,Individual Health,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Pol Restored/Reinstated,Voluntary Reconsider,0.00,Closed
"ConnectiCare Insurance Company, Inc",902172,05/13/2019,06/17/2019,Individual Health,No SubCov - AH,Premium and Rating,Other [Enter Sub-Reason],Pol Restored/Reinstated,Voluntary Reconsider,0.00,Closed
GEICO Indemnity Company,704952,10/31/2017,04/04/2018,Auto Physical Damage,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
UnitedHealthcare Insurance Company,902508,06/04/2019,06/17/2019,,,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
MedAmerica Insurance Company,803595,08/03/2018,08/06/2018,Individual Long Term Care,No SubCov - AH,Premium and Rating,Premium/Rate Increase,Rate Increase Explained,Furnished Information,0.00,Closed
Amica Mutual Insurance Company,101694,04/19/2021,05/10/2021,Auto Liability,,Unfair Claims Practice,Denial of Claim,Corrective Action,Justified,0.00,Closed
"ConnectiCare Insurance Company, Inc",5256,12/18/2020,05/10/2021,A & H,No SubCov - AH,Unfair Claims Practice,Eligibility of Provider,Claim Settled,Justified,18306.69,Closed
Amica Mutual Insurance Company,800408,01/25/2018,04/04/2018,Auto Liability,,Unfair Claims Practice,Loss of Use,Claim Settled,Unjustified,0.00,Closed
State Farm Mutual Automobile Insurance Company,902370,05/28/2019,06/17/2019,Auto Liability,,Unfair Claims Practice,Claim Delays,Claim Settled,Unjustified,0.00,Closed
ReliaStar Life Insurance Company of New York,102143,05/18/2021,06/02/2021,,,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",803709,08/08/2018,08/22/2018,Individual Health,Cancer Related,Utilization Review,Medical Necessity,External Review Info Sent,Furnished Information,0.00,Closed
Peerless Insurance Company,801467,03/26/2018,04/04/2018,General Liability,,Unfair Claims Practice,Unsatisfactory Offer,Company Position Upheld,Unjustified,0.00,Closed
Arch Insurance Company,102118,05/17/2021,06/14/2021,Travel Insurance,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
ReliaStar Life Insurance Company of New York,102143,05/18/2021,06/02/2021,Individual Life,Universal Life,Premium and Rating,Premium/Rate Increase,Contract Provision,Unjustified,0.00,Closed
SAFECO Insurance Company of Illinois,805654,12/05/2018,01/03/2019,,,Unfair Claims Practice,Claim Delays,Corrective Action,Justified,0.00,Closed
"Anthem Health Plans, Inc",901899,04/25/2019,06/17/2019,Exchange-Individual Hlth,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Company Position Upheld,Furnished Information,0.00,Closed
GEICO General Insurance Company,902158,05/13/2019,06/17/2019,,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Justified,0.00,Closed
Ameritas Life Insurance Corp.,902332,05/22/2019,06/17/2019,Dental,Dental,Unfair Claims Practice,Provider Contract Issue,Satisfied,Furnished Information,0.00,Closed
American Commerce Insurance Company,902471,05/31/2019,06/17/2019,Homeowners,,Premium and Rating,Premium/Notice,Company Position Upheld,Unjustified,0.00,Closed
Hartford Insurance Company of the Southeast,801345,03/19/2018,04/04/2018,,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",800179,01/12/2018,04/04/2018,Individual Health,No SubCov - AH,Premium and Rating,Premium Refund Delay,Company Position Upheld,Furnished Information,0.00,Closed
GEICO General Insurance Company,902158,05/13/2019,06/17/2019,Auto Liability,,Unfair Claims Practice,Comparative Negligence,Refer-Judicial/Attorney,Justified,0.00,Closed
GEICO Indemnity Company,704952,10/31/2017,04/04/2018,,,Unfair Claims Practice,Claim Procedure,Company Position Upheld,Unjustified,0.00,Closed
"ConnectiCare Insurance Company, Inc",800842,02/20/2018,03/05/2018,Individual Health,No SubCov - AH,Premium and Rating,Premium Refund Delay,Satisfied,Voluntary Reconsider,730.71,Closed
Connecticut General Life Insurance Company,902661,06/13/2019,06/17/2019,Group Life,Term Life,Unfair Claims Practice,Claim Procedure,Complaint Withdrawn,No Action Necessary,0.00,Closed
Trumbull Insurance Company,801442,03/23/2018,04/04/2018,Homeowners,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",102199,05/21/2021,06/02/2021,A & H,No SubCov - AH,Unknown,No Subreason,Insufficient Information,No Action Necessary,0.00,Closed
Amica Mutual Insurance Company,101546,04/08/2021,05/10/2021,Watercraft,,Unfair Claims Practice,Denial of Claim,Contract Provision,Unjustified,0.00,Closed
Hartford Insurance Company of the Southeast,801345,03/19/2018,04/04/2018,Condo Unit Owner,,Unfair Claims Practice,Claim Delays,Company Position Upheld,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",803379,07/23/2018,08/06/2018,,,Unfair Claims Practice,CPT Code Issue,Provider Issue,Furnished Information,0.00,Closed
Conseco Insurance Company,801131,03/07/2018,04/04/2018,Individual Annuity,Fixed Annuity,Marketing/Sales,Policy Service Delay,Corrective Action,Unjustified,0.00,Closed
"Anthem Health Plans, Inc",801379,03/20/2018,04/04/2018,Individual Health,No SubCov - AH,Marketing/Sales,No Coverage/Premium Paid,Pol Restored/Reinstated,Furnished Information,0.00,Closed
Nationwide Mutual Fire Insurance Company,803331,07/19/2018,08/06/2018,Homeowners,,Unfair Claims Practice,Unsatisfactory Settlement,Company Position Upheld,Unjustified,0.00,Closed
Massachusetts Mutual Life Insurance Company,804060,08/24/2018,10/09/2018,Individual Life,Whole Life,Marketing/Sales,Producer Handling,Company Position Upheld,Unjustified,0.00,Closed
